coalition,loss
mechanism_04|mechanism_06|mechanism_10,0.17872642365885047
mechanism_04|mechanism_06|mechanism_11,0.1765352747791167
mechanism_04|mechanism_06|mechanism_12,0.17436528561741307
mechanism_04|mechanism_07|mechanism_08,0.18093879315214204
mechanism_04|mechanism_07|mechanism_09,0.17799368578624652
mechanism_04|mechanism_07|mechanism_10,0.18618382790150856
mechanism_04|mechanism_07|mechanism_11,0.17364664701900506
mechanism_04|mechanism_07|mechanism_12,0.17150476997540087
mechanism_04|mechanism_08|mechanism_09,0.17508626816403985
mechanism_04|mechanism_08|mechanism_10,0.17293034989613867
mechanism_04|mechanism_08|mechanism_11,0.17079548202237452
mechanism_04|mechanism_08|mechanism_12,0.16868159439781955
mechanism_04|mechanism_09|mechanism_10,0.17008852523532647
mechanism_04|mechanism_09|mechanism_11,0.17508626816403985
mechanism_04|mechanism_09|mechanism_12,0.16589558609851357
mechanism_04|mechanism_10|mechanism_11,0.16589558609851357
mechanism_04|mechanism_10|mechanism_12,0.16383036122335892
mechanism_04|mechanism_11|mechanism_12,0.16178585943954402
mechanism_05|mechanism_06|mechanism_07,0.18242552380635635
mechanism_05|mechanism_06|mechanism_08,0.17946151940732682
mechanism_05|mechanism_06|mechanism_09,0.1652048701906146
mechanism_05|mechanism_06|mechanism_10,0.17436528561741307
mechanism_05|mechanism_06|mechanism_11,0.17221639173387782
mechanism_05|mechanism_06|mechanism_12,0.17008852523532647
mechanism_05|mechanism_07|mechanism_08,0.1765352747791167
mechanism_05|mechanism_07|mechanism_09,0.1624650625806961
mechanism_05|mechanism_07|mechanism_10,0.18168097534508462
mechanism_05|mechanism_07|mechanism_11,0.16938389693401873
mechanism_05|mechanism_07|mechanism_12,0.16728395553848313
mechanism_05|mechanism_08|mechanism_09,0.15976199694366908
mechanism_05|mechanism_08|mechanism_10,0.16868159439781955
mechanism_05|mechanism_08|mechanism_11,0.16658861357545968
mechanism_05|mechanism_08|mechanism_12,0.16451646289656316
mechanism_05|mechanism_09|mechanism_10,0.1551194226263038
mechanism_05|mechanism_09|mechanism_11,0.15976199694366908
mechanism_05|mechanism_09|mechanism_12,0.15122825250907418
mechanism_05|mechanism_10|mechanism_11,0.16178585943954402
mechanism_05|mechanism_10|mechanism_12,0.15976199694366908
mechanism_05|mechanism_11|mechanism_12,0.15775868701896995
mechanism_06|mechanism_07|mechanism_08,0.17221639173387782
mechanism_06|mechanism_07|mechanism_09,0.16938389693401873
mechanism_06|mechanism_07|mechanism_10,0.1772633035782569
mechanism_06|mechanism_07|mechanism_11,0.16520487019061464
mechanism_06|mechanism_07|mechanism_12,0.16314656214056913
mechanism_06|mechanism_08|mechanism_09,0.16658861357545968
mechanism_06|mechanism_08|mechanism_10,0.16451646289656316
mechanism_06|mechanism_08|mechanism_11,0.1624650625806961
mechanism_06|mechanism_08|mechanism_12,0.1604343298153256
mechanism_06|mechanism_09|mechanism_10,0.16178585943954402
mechanism_06|mechanism_09|mechanism_11,0.16658861357545968
mechanism_06|mechanism_09|mechanism_12,0.15775868701896995
mechanism_06|mechanism_10|mechanism_11,0.15775868701896995
mechanism_06|mechanism_10|mechanism_12,0.1557758401237474
mechanism_06|mechanism_11|mechanism_12,0.15381336397920678
mechanism_07|mechanism_08|mechanism_09,0.16383036122335892
mechanism_07|mechanism_08|mechanism_10,0.17150476997540087
mechanism_07|mechanism_08|mechanism_11,0.15976199694366908
mechanism_07|mechanism_08|mechanism_12,0.15775868701896995
mechanism_07|mechanism_09|mechanism_10,0.16868159439781955
mechanism_07|mechanism_09|mechanism_11,0.16383036122335892
mechanism_07|mechanism_09|mechanism_12,0.1551194226263038
mechanism_07|mechanism_10|mechanism_11,0.16451646289656321
mechanism_07|mechanism_10|mechanism_12,0.1624650625806961
mechanism_07|mechanism_11|mechanism_12,0.1512282525090742
mechanism_08|mechanism_09|mechanism_10,0.1672839555384832
mechanism_08|mechanism_09|mechanism_11,0.16110894957658525
mechanism_08|mechanism_09|mechanism_12,0.1525163168612938
mechanism_08|mechanism_10|mechanism_11,0.1525163168612938
mechanism_08|mechanism_10|mechanism_12,0.15058757974584394
mechanism_08|mechanism_11|mechanism_12,0.1486789545839074
mechanism_09|mechanism_10|mechanism_11,0.15643452105974257
mechanism_09|mechanism_10|mechanism_12,0.14804719803168948
mechanism_09|mechanism_11|mechanism_12,0.1525163168612938
mechanism_10|mechanism_11|mechanism_12,0.14430313409051876
mechanism_01|mechanism_02|mechanism_03|mechanism_04,0.32959884019113145
mechanism_01|mechanism_02|mechanism_03|mechanism_05,0.323004143761477
mechanism_01|mechanism_02|mechanism_03|mechanism_06,0.34524653939368083
mechanism_01|mechanism_02|mechanism_03|mechanism_07,0.31216866941715965
mechanism_01|mechanism_02|mechanism_03|mechanism_08,0.2829247145070275
mechanism_01|mechanism_02|mechanism_03|mechanism_09,0.3036450701761659
mechanism_01|mechanism_02|mechanism_03|mechanism_10,0.30048277233757253
mechanism_01|mechanism_02|mechanism_03|mechanism_11,0.29733934565526854
mechanism_01|mechanism_02|mechanism_03|mechanism_12,0.2942149721629888
mechanism_01|mechanism_02|mechanism_04|mechanism_05,0.2728917836588705
mechanism_01|mechanism_02|mechanism_04|mechanism_06,0.27091207765069353
mechanism_01|mechanism_02|mechanism_04|mechanism_07,0.24232036099629517
mechanism_01|mechanism_02|mechanism_04|mechanism_08,0.23866728515708963
mechanism_01|mechanism_02|mechanism_04|mechanism_09,0.2350521962362353
mechanism_01|mechanism_02|mechanism_04|mechanism_10,0.2323658826783749
mechanism_01|mechanism_02|mechanism_04|mechanism_11,0.22970105095339813
mechanism_01|mechanism_02|mechanism_04|mechanism_12,0.2270577406032615
mechanism_01|mechanism_02|mechanism_05|mechanism_06,0.2650274005334812
mechanism_01|mechanism_02|mechanism_05|mechanism_07,0.23685498427314458
mechanism_01|mechanism_02|mechanism_05|mechanism_08,0.23325893577145726
mechanism_01|mechanism_02|mechanism_05|mechanism_09,0.21585281082251456
mechanism_01|mechanism_02|mechanism_05|mechanism_10,0.2270577406032615
mechanism_01|mechanism_02|mechanism_05|mechanism_11,0.2244359857309266
mechanism_01|mechanism_02|mechanism_05|mechanism_12,0.22183581507529954
mechanism_01|mechanism_02|mechanism_06|mechanism_07,0.25540308417252405
mechanism_01|mechanism_02|mechanism_06|mechanism_08,0.2516182783929358
mechanism_01|mechanism_02|mechanism_06|mechanism_09,0.24787088856042985
mechanism_01|mechanism_02|mechanism_06|mechanism_10,0.24508501313237172
mechanism_01|mechanism_02|mechanism_06|mechanism_11,0.24232036099629511
mechanism_01|mechanism_02|mechanism_06|mechanism_12,0.23957699801126897
mechanism_01|mechanism_02|mechanism_07|mechanism_08,0.2244359857309266
mechanism_01|mechanism_02|mechanism_07|mechanism_09,0.22097389222018785
mechanism_01|mechanism_02|mechanism_07|mechanism_10,0.2305869387712515
mechanism_01|mechanism_02|mechanism_07|mechanism_11,0.21585281082251456
mechanism_01|mechanism_02|mechanism_07|mechanism_12,0.21332472781586043
mechanism_01|mechanism_02|mechanism_08|mechanism_09,0.21755022357688752
