regime,repeat,coalition,coalition_key,coalition_size,loss,orders
uniform,1,dimension_drift|orphan_foreign_keys,dimension_drift|orphan_foreign_keys,2,0.01732979834829304,100000
uniform,1,duplicate_facts|orphan_foreign_keys,duplicate_facts|orphan_foreign_keys,2,0.05255351269068499,100000
uniform,1,dimension_drift|stale_timestamps,dimension_drift|stale_timestamps,2,0.03566713326684935,100000
uniform,1,duplicate_facts|stale_timestamps,duplicate_facts|stale_timestamps,2,0.06899666631632276,100000
uniform,1,dimension_drift|duplicate_facts,dimension_drift|duplicate_facts,2,0.06669511992150401,100000
uniform,1,missing_measures|orphan_foreign_keys|value_noise,missing_measures|orphan_foreign_keys|value_noise,3,0.04747242771595114,100000
uniform,1,missing_measures|stale_timestamps|value_noise,missing_measures|stale_timestamps|value_noise,3,0.057764427009264804,100000
uniform,1,dimension_drift|missing_measures|value_noise,dimension_drift|missing_measures|value_noise,3,0.03816716627452839,100000
uniform,1,duplicate_facts|missing_measures|value_noise,duplicate_facts|missing_measures|value_noise,3,0.05688683086853015,100000
uniform,1,missing_measures|orphan_foreign_keys|stale_timestamps,missing_measures|orphan_foreign_keys|stale_timestamps,3,0.08542349474221211,100000
uniform,1,dimension_drift|missing_measures|orphan_foreign_keys,dimension_drift|missing_measures|orphan_foreign_keys,3,0.0653146994977447,100000
uniform,1,duplicate_facts|missing_measures|orphan_foreign_keys,duplicate_facts|missing_measures|orphan_foreign_keys,3,0.03703344183287688,100000
uniform,1,dimension_drift|missing_measures|stale_timestamps,dimension_drift|missing_measures|stale_timestamps,3,0.0768845493297269,100000
uniform,1,duplicate_facts|missing_measures|stale_timestamps,duplicate_facts|missing_measures|stale_timestamps,3,0.048490514598549916,100000
uniform,1,dimension_drift|duplicate_facts|missing_measures,dimension_drift|duplicate_facts|missing_measures,3,0.02946747246997842,100000
uniform,1,orphan_foreign_keys|stale_timestamps|value_noise,orphan_foreign_keys|stale_timestamps|value_noise,3,0.05566465072750364,100000
uniform,1,dimension_drift|orphan_foreign_keys|value_noise,dimension_drift|orphan_foreign_keys|value_noise,3,0.04495965119083408,100000
uniform,1,duplicate_facts|orphan_foreign_keys|value_noise,duplicate_facts|orphan_foreign_keys|value_noise,3,0.09507203447060397,100000
uniform,1,dimension_drift|stale_timestamps|value_noise,dimension_drift|stale_timestamps|value_noise,3,0.06181847488571293,100000
uniform,1,duplicate_facts|stale_timestamps|value_noise,duplicate_facts|stale_timestamps|value_noise,3,0.11090966627963746,100000
uniform,1,dimension_drift|duplicate_facts|value_noise,dimension_drift|duplicate_facts|value_noise,3,0.11148541543481688,100000
uniform,1,dimension_drift|orphan_foreign_keys|stale_timestamps,dimension_drift|orphan_foreign_keys|stale_timestamps,3,0.04648361322220644,100000
uniform,1,duplicate_facts|orphan_foreign_keys|stale_timestamps,duplicate_facts|orphan_foreign_keys|stale_timestamps,3,0.0580460093238868,100000
uniform,1,dimension_drift|duplicate_facts|orphan_foreign_keys,dimension_drift|duplicate_facts|orphan_foreign_keys,3,0.05778867000169802,100000
uniform,1,dimension_drift|duplicate_facts|stale_timestamps,dimension_drift|duplicate_facts|stale_timestamps,3,0.07218761655470582,100000
uniform,1,missing_measures|orphan_foreign_keys|stale_timestamps|value_noise,missing_measures|orphan_foreign_keys|stale_timestamps|value_noise,4,0.0712498262087505,100000
uniform,1,dimension_drift|missing_measures|orphan_foreign_keys|value_noise,dimension_drift|missing_measures|orphan_foreign_keys|value_noise,4,0.05105886260310128,100000
uniform,1,duplicate_facts|missing_measures|orphan_foreign_keys|value_noise,duplicate_facts|missing_measures|orphan_foreign_keys|value_noise,4,0.055940423863138126,100000
uniform,1,dimension_drift|missing_measures|stale_timestamps|value_noise,dimension_drift|missing_measures|stale_timestamps|value_noise,4,0.061944564767327764,100000
uniform,1,duplicate_facts|missing_measures|stale_timestamps|value_noise,duplicate_facts|missing_measures|stale_timestamps|value_noise,4,0.07152715086071543,100000
uniform,1,dimension_drift|duplicate_facts|missing_measures|value_noise,dimension_drift|duplicate_facts|missing_measures|value_noise,4,0.06007778110691308,100000
uniform,1,dimension_drift|missing_measures|orphan_foreign_keys|stale_timestamps,dimension_drift|missing_measures|orphan_foreign_keys|stale_timestamps,4,0.08900992962936227,100000
uniform,1,duplicate_facts|missing_measures|orphan_foreign_keys|stale_timestamps,duplicate_facts|missing_measures|orphan_foreign_keys|stale_timestamps,4,0.06124079792001508,100000
uniform,1,dimension_drift|duplicate_facts|missing_measures|orphan_foreign_keys,dimension_drift|duplicate_facts|missing_measures|orphan_foreign_keys,4,0.040310110898282805,100000
uniform,1,dimension_drift|duplicate_facts|missing_measures|stale_timestamps,dimension_drift|duplicate_facts|missing_measures|stale_timestamps,4,0.05367482855711662,100000
uniform,1,dimension_drift|orphan_foreign_keys|stale_timestamps|value_noise,dimension_drift|orphan_foreign_keys|stale_timestamps|value_noise,4,0.059251085614653864,100000
uniform,1,duplicate_facts|orphan_foreign_keys|stale_timestamps|value_noise,duplicate_facts|orphan_foreign_keys|stale_timestamps|value_noise,4,0.09768723555380752,100000
uniform,1,dimension_drift|duplicate_facts|orphan_foreign_keys|value_noise,dimension_drift|duplicate_facts|orphan_foreign_keys|value_noise,4,0.09834870353600995,100000
uniform,1,dimension_drift|duplicate_facts|stale_timestamps|value_noise,dimension_drift|duplicate_facts|stale_timestamps|value_noise,4,0.11410061651802043,100000
uniform,1,dimension_drift|duplicate_facts|orphan_foreign_keys|stale_timestamps,dimension_drift|duplicate_facts|orphan_foreign_keys|stale_timestamps,4,0.06328116663489983,100000
uniform,1,dimension_drift|missing_measures|orphan_foreign_keys|stale_timestamps|value_noise,dimension_drift|missing_measures|orphan_foreign_keys|stale_timestamps|value_noise,5,0.07483626109590065,100000
uniform,1,duplicate_facts|missing_measures|orphan_foreign_keys|stale_timestamps|value_noise,duplicate_facts|missing_measures|orphan_foreign_keys|stale_timestamps|value_noise,5,0.0705807438553234,100000
uniform,1,dimension_drift|duplicate_facts|missing_measures|orphan_foreign_keys|value_noise,dimension_drift|duplicate_facts|missing_measures|orphan_foreign_keys|value_noise,5,0.059364081721287563,100000
uniform,1,dimension_drift|duplicate_facts|missing_measures|stale_timestamps|value_noise,dimension_drift|duplicate_facts|missing_measures|stale_timestamps|value_noise,5,0.07471810109909836,100000
uniform,1,dimension_drift|duplicate_facts|missing_measures|orphan_foreign_keys|stale_timestamps,dimension_drift|duplicate_facts|missing_measures|orphan_foreign_keys|stale_timestamps,5,0.064517466985421,100000
uniform,1,dimension_drift|duplicate_facts|orphan_foreign_keys|stale_timestamps|value_noise,dimension_drift|duplicate_facts|orphan_foreign_keys|stale_timestamps|value_noise,5,0.10096390461921351,100000
uniform,1,dimension_drift|duplicate_facts|missing_measures|orphan_foreign_keys|stale_timestamps|value_noise,dimension_drift|duplicate_facts|missing_measures|orphan_foreign_keys|stale_timestamps|value_noise,6,0.07400440171347283,100000
uniform,2,EMPTY,EMPTY,0,0.0,100000
uniform,2,missing_measures,missing_measures,1,0.05119432517110966,100000
uniform,2,value_noise,value_noise,1,0.040278305591175664,100000
uniform,2,orphan_foreign_keys,orphan_foreign_keys,1,0.013845013687184519,100000
uniform,2,stale_timestamps,stale_timestamps,1,0.029278970382214567,100000
uniform,2,dimension_drift,dimension_drift,1,0.01409921124033961,100000
uniform,2,duplicate_facts,duplicate_facts,1,0.06433106682428456,100000
uniform,2,missing_measures|value_noise,missing_measures|value_noise,2,0.03605659486813692,100000
uniform,2,missing_measures|orphan_foreign_keys,missing_measures|orphan_foreign_keys,2,0.06345957589239713,100000
uniform,2,missing_measures|stale_timestamps,missing_measures|stale_timestamps,2,0.07397177778239844,100000
uniform,2,dimension_drift|missing_measures,dimension_drift|missing_measures,2,0.05895829399531925,100000
uniform,2,duplicate_facts|missing_measures,duplicate_facts|missing_measures,2,0.025006750728866815,100000
uniform,2,orphan_foreign_keys|value_noise,orphan_foreign_keys|value_noise,2,0.03874816060668869,100000
uniform,2,stale_timestamps|value_noise,stale_timestamps|value_noise,2,0.05651535840878376,100000
uniform,2,dimension_drift|value_noise,dimension_drift|value_noise,2,0.04804227441538536,100000
uniform,2,duplicate_facts|value_noise,duplicate_facts|value_noise,2,0.10620598773864257,100000
uniform,2,orphan_foreign_keys|stale_timestamps,orphan_foreign_keys|stale_timestamps,2,0.04312398406939909,100000
uniform,2,dimension_drift|orphan_foreign_keys,dimension_drift|orphan_foreign_keys,2,0.020725976095724786,100000
uniform,2,duplicate_facts|orphan_foreign_keys,duplicate_facts|orphan_foreign_keys,2,0.05353636874401829,100000
uniform,2,dimension_drift|stale_timestamps,dimension_drift|stale_timestamps,2,0.04337818162255418,100000
uniform,2,duplicate_facts|stale_timestamps,duplicate_facts|stale_timestamps,2,0.07060674082403368,100000
uniform,2,dimension_drift|duplicate_facts,dimension_drift|duplicate_facts,2,0.07089019365829899,100000
uniform,2,missing_measures|orphan_foreign_keys|value_noise,missing_measures|orphan_foreign_keys|value_noise,3,0.048830674937634086,100000
uniform,2,missing_measures|stale_timestamps|value_noise,missing_measures|stale_timestamps|value_noise,3,0.06008023338716087,100000
uniform,2,dimension_drift|missing_measures|value_noise,dimension_drift|missing_measures|value_noise,3,0.046844972868573545,100000
uniform,2,duplicate_facts|missing_measures|value_noise,duplicate_facts|missing_measures|value_noise,3,0.05221762791489946,100000
uniform,2,missing_measures|orphan_foreign_keys|stale_timestamps,missing_measures|orphan_foreign_keys|stale_timestamps,3,0.08623702850368592,100000
uniform,2,dimension_drift|missing_measures|orphan_foreign_keys,dimension_drift|missing_measures|orphan_foreign_keys,3,0.0703405383009374,100000
uniform,2,duplicate_facts|missing_measures|orphan_foreign_keys,duplicate_facts|missing_measures|orphan_foreign_keys,3,0.03755921437622105,100000
uniform,2,dimension_drift|missing_measures|stale_timestamps,dimension_drift|missing_measures|stale_timestamps,3,0.08173574660660804,100000
uniform,2,duplicate_facts|missing_measures|stale_timestamps,duplicate_facts|missing_measures|stale_timestamps,3,0.04894706058475581,100000
uniform,2,dimension_drift|duplicate_facts|missing_measures,dimension_drift|duplicate_facts|missing_measures,3,0.03679629641750219,100000
uniform,2,orphan_foreign_keys|stale_timestamps|value_noise,orphan_foreign_keys|stale_timestamps|value_noise,3,0.05498521342429678,100000
uniform,2,dimension_drift|orphan_foreign_keys|value_noise,dimension_drift|orphan_foreign_keys|value_noise,3,0.048886458788166984,100000
uniform,2,duplicate_facts|orphan_foreign_keys|value_noise,duplicate_facts|orphan_foreign_keys|value_noise,3,0.09242564468001374,100000
uniform,2,dimension_drift|stale_timestamps|value_noise,dimension_drift|stale_timestamps|value_noise,3,0.06427932723299346,100000
uniform,2,duplicate_facts|stale_timestamps|value_noise,duplicate_facts|stale_timestamps|value_noise,3,0.10928446755186833,100000
uniform,2,dimension_drift|duplicate_facts|value_noise,dimension_drift|duplicate_facts|value_noise,3,0.11276511457265694,100000
uniform,2,dimension_drift|orphan_foreign_keys|stale_timestamps,dimension_drift|orphan_foreign_keys|stale_timestamps,3,0.05000494647793935,100000
uniform,2,duplicate_facts|orphan_foreign_keys|stale_timestamps,duplicate_facts|orphan_foreign_keys|stale_timestamps,3,0.059812042743767405,100000
uniform,2,dimension_drift|duplicate_facts|orphan_foreign_keys,dimension_drift|duplicate_facts|orphan_foreign_keys,3,0.06578583906801072,100000
uniform,2,dimension_drift|duplicate_facts|stale_timestamps,dimension_drift|duplicate_facts|stale_timestamps,3,0.07716586765804809,100000
uniform,2,missing_measures|orphan_foreign_keys|stale_timestamps|value_noise,missing_measures|orphan_foreign_keys|stale_timestamps|value_noise,4,0.07285431345665802,100000
uniform,2,dimension_drift|missing_measures|orphan_foreign_keys|value_noise,dimension_drift|missing_measures|orphan_foreign_keys|value_noise,4,0.05571163734617432,100000
uniform,2,duplicate_facts|missing_measures|orphan_foreign_keys|value_noise,duplicate_facts|missing_measures|orphan_foreign_keys|value_noise,4,0.0523717371052378,100000
uniform,2,dimension_drift|missing_measures|stale_timestamps|value_noise,dimension_drift|missing_measures|stale_timestamps|value_noise,4,0.07086861138759748,100000
uniform,2,duplicate_facts|missing_measures|stale_timestamps|value_noise,duplicate_facts|missing_measures|stale_timestamps|value_noise,4,0.06866604126237828,100000
uniform,2,dimension_drift|duplicate_facts|missing_measures|value_noise,dimension_drift|duplicate_facts|missing_measures|value_noise,4,0.05890003284894956,100000
uniform,2,dimension_drift|missing_measures|orphan_foreign_keys|stale_timestamps,dimension_drift|missing_measures|orphan_foreign_keys|stale_timestamps,4,0.09311799091222617,100000
uniform,2,duplicate_facts|missing_measures|orphan_foreign_keys|stale_timestamps,duplicate_facts|missing_measures|orphan_foreign_keys|stale_timestamps,4,0.06149952423211003,100000
uniform,2,dimension_drift|duplicate_facts|missing_measures|orphan_foreign_keys,dimension_drift|duplicate_facts|missing_measures|orphan_foreign_keys,4,0.0445931781141758,100000
uniform,2,dimension_drift|duplicate_facts|missing_measures|stale_timestamps,dimension_drift|duplicate_facts|missing_measures|stale_timestamps,4,0.06073660627339118,100000
uniform,2,dimension_drift|orphan_foreign_keys|stale_timestamps|value_noise,dimension_drift|orphan_foreign_keys|stale_timestamps|value_noise,4,0.06512351160577506,100000
uniform,2,duplicate_facts|orphan_foreign_keys|stale_timestamps|value_noise,duplicate_facts|orphan_foreign_keys|stale_timestamps|value_noise,4,0.0955041244932395,100000
uniform,2,dimension_drift|duplicate_facts|orphan_foreign_keys|value_noise,dimension_drift|duplicate_facts|orphan_foreign_keys|value_noise,4,0.09945960841796854,100000
uniform,2,dimension_drift|duplicate_facts|stale_timestamps|value_noise,dimension_drift|duplicate_facts|stale_timestamps|value_noise,4,0.1158435943858827,100000
uniform,2,dimension_drift|duplicate_facts|orphan_foreign_keys|stale_timestamps,dimension_drift|duplicate_facts|orphan_foreign_keys|stale_timestamps,4,0.07206151306775985,100000
uniform,2,dimension_drift|missing_measures|orphan_foreign_keys|stale_timestamps|value_noise,dimension_drift|missing_measures|orphan_foreign_keys|stale_timestamps|value_noise,5,0.07973527586519827,100000
