regime,query,channel,debt,ci_low,ci_high,probability_harmful,rank_1_probability
skewed,revenue_category,orphan_foreign_keys,0.0,0.0,0.0,0.0,0.0
skewed,revenue_category,dimension_drift,0.0,0.0,0.0,0.0,0.0
skewed,revenue_category,missing_measures,-0.024350496208324857,-0.02525747722580249,-0.02341648484627513,0.0,0.0
skewed,revenue_month,stale_timestamps,0.0684472462655008,0.06727456985291216,0.0696499543344533,1.0,1.0
skewed,revenue_month,value_noise,0.020544106700911478,0.019120061062236043,0.022064817397057485,1.0,0.0
skewed,revenue_month,duplicate_facts,0.019115204793665647,0.017792871435336536,0.020486004828477546,1.0,0.0
skewed,revenue_month,missing_measures,0.0006270931684974838,-0.0004570844882526443,0.0017652010506159028,0.849,0.0
skewed,revenue_month,orphan_foreign_keys,0.0,0.0,0.0,0.0,0.0
skewed,revenue_month,dimension_drift,0.0,0.0,0.0,0.0,0.0
skewed,revenue_region,dimension_drift,0.11095136289920338,0.0543148680853237,0.1755192922680836,1.0,1.0
skewed,revenue_region,orphan_foreign_keys,0.0236844505811096,0.020491546288335414,0.02632179757888553,1.0,0.0
skewed,revenue_region,missing_measures,0.02361573408535528,0.02027640625677488,0.026454393663620443,1.0,0.0
skewed,revenue_region,value_noise,0.003837839340338483,0.0013814601349598197,0.006541587341910323,1.0,0.0
skewed,revenue_region,duplicate_facts,0.0009373084091525204,-0.0028113286537175845,0.004788623199162184,0.661,0.0
skewed,revenue_region,stale_timestamps,0.0,0.0,0.0,0.0,0.0
uniform,aov_segment,value_noise,0.06371675233493726,0.059510445046515585,0.0678380914646761,1.0,1.0
uniform,aov_segment,orphan_foreign_keys,0.0015231735346419328,0.0008219108834008684,0.002266187869360472,1.0,0.0
uniform,aov_segment,missing_measures,0.0009628685129719135,0.0002968784841138318,0.001688945596107231,0.999,0.0
uniform,aov_segment,duplicate_facts,0.0005984301220872403,-0.00020423077919658214,0.0014220256659494127,0.93,0.0
uniform,aov_segment,stale_timestamps,0.0,0.0,0.0,0.0,0.0
uniform,aov_segment,dimension_drift,0.0,0.0,0.0,0.0,0.0
uniform,customers_region,dimension_drift,0.021866666666666677,0.017965833333333327,0.02740083333333332,1.0,1.0
uniform,customers_region,missing_measures,0.0,0.0,0.0,0.0,0.0
uniform,customers_region,value_noise,0.0,0.0,0.0,0.0,0.0
uniform,customers_region,orphan_foreign_keys,0.0,0.0,0.0,0.0,0.0
uniform,customers_region,stale_timestamps,0.0,0.0,0.0,0.0,0.0
uniform,customers_region,duplicate_facts,0.0,0.0,0.0,0.0,0.0
uniform,daily_revenue,stale_timestamps,0.08263071844951711,0.08154872788548223,0.08370121803039476,1.0,1.0
uniform,daily_revenue,value_noise,0.03454499370285846,0.03281734547392946,0.036410037630121635,1.0,0.0
uniform,daily_revenue,duplicate_facts,0.02687002287316255,0.02606714421246485,0.027727966632275506,1.0,0.0
uniform,daily_revenue,missing_measures,0.016770452895787546,0.015802196171100208,0.01763350089018951,1.0,0.0
uniform,daily_revenue,orphan_foreign_keys,0.0,0.0,0.0,0.0,0.0
uniform,daily_revenue,dimension_drift,0.0,0.0,0.0,0.0,0.0
uniform,orders_status,duplicate_facts,0.09999999999999992,0.09999999999999991,0.09999999999999991,1.0,1.0
uniform,orders_status,missing_measures,0.0,0.0,0.0,0.0,0.0
uniform,orders_status,value_noise,0.0,0.0,0.0,0.0,0.0
uniform,orders_status,orphan_foreign_keys,0.0,0.0,0.0,0.0,0.0
uniform,orders_status,stale_timestamps,0.0,0.0,0.0,0.0,0.0
uniform,orders_status,dimension_drift,0.0,0.0,0.0,0.0,0.0
uniform,refund_region,dimension_drift,0.005233046147029236,0.003315346604523783,0.0071925368549080665,1.0,0.659
uniform,refund_region,orphan_foreign_keys,0.00467857025758872,0.0032852661052362223,0.005943765695503403,1.0,0.34
uniform,refund_region,duplicate_facts,0.0030480800271537587,0.002121737811679141,0.003949761348740464,1.0,0.001
uniform,refund_region,missing_measures,0.0,0.0,0.0,0.0,0.0
uniform,refund_region,value_noise,0.0,0.0,0.0,0.0,0.0
uniform,refund_region,stale_timestamps,0.0,0.0,0.0,0.0,0.0
uniform,revenue_category,duplicate_facts,0.03993242929208227,0.03809915981805661,0.04197633499161701,1.0,1.0
uniform,revenue_category,value_noise,0.03812458269198485,0.03626403765950715,0.04025837284470845,1.0,0.0
uniform,revenue_category,stale_timestamps,0.0,0.0,0.0,0.0,0.0
uniform,revenue_category,orphan_foreign_keys,0.0,0.0,0.0,0.0,0.0
uniform,revenue_category,dimension_drift,0.0,0.0,0.0,0.0,0.0
uniform,revenue_category,missing_measures,-0.024462402713106964,-0.025405673122884047,-0.023672466306084702,0.0,0.0
uniform,revenue_month,stale_timestamps,0.06726790966280494,0.06539721903040331,0.06875070325578737,1.0,1.0
uniform,revenue_month,value_noise,0.01985713237783336,0.01878151053721006,0.020904049075534156,1.0,0.0
uniform,revenue_month,duplicate_facts,0.018750773395687204,0.017481870499753804,0.02019055587925164,1.0,0.0
uniform,revenue_month,orphan_foreign_keys,0.0,0.0,0.0,0.0,0.0
uniform,revenue_month,dimension_drift,0.0,0.0,0.0,0.0,0.0
uniform,revenue_month,missing_measures,-0.00027891890223003327,-0.001887812313942547,0.0011614368606435621,0.377,0.0
uniform,revenue_region,missing_measures,0.028261971903659856,0.0264772330187725,0.02983883651378403,1.0,0.508
uniform,revenue_region,orphan_foreign_keys,0.028253161193143927,0.02640099507023959,0.0298987886545025,1.0,0.492
uniform,revenue_region,dimension_drift,0.005816088696086357,0.003981897899392797,0.00853817885618187,1.0,0.0
uniform,revenue_region,stale_timestamps,0.0,0.0,0.0,0.0,0.0
uniform,revenue_region,value_noise,-0.000960213165188982,-0.001519672484145527,-0.00044149115631177355,0.0,0.0
uniform,revenue_region,duplicate_facts,-0.007460200980157852,-0.008216972176322302,-0.006675318692334773,0.0,0.0
