regime,permutations,trial,rmse,max_error,top1,unique_coalitions,coalition_fraction,hoeffding_radius
uniform,2,26,0.02427511798379372,0.04747561957939735,False,11,0.171875,2.3410764454288953
uniform,2,27,0.00892681429427352,0.014841874152485841,False,11,0.171875,2.3410764454288953
uniform,2,28,0.004706420399988347,0.009027080710691773,False,12,0.1875,2.3410764454288953
uniform,2,29,0.014100532662610389,0.025220392329640608,False,10,0.15625,2.3410764454288953
uniform,2,30,0.01975428371753342,0.04080502863091694,True,10,0.15625,2.3410764454288953
uniform,2,31,0.02359545955480658,0.04388514072643322,False,12,0.1875,2.3410764454288953
uniform,2,32,0.017346734210869803,0.032182778475422384,False,11,0.171875,2.3410764454288953
uniform,2,33,0.010897083491444661,0.014949631840526792,False,12,0.1875,2.3410764454288953
uniform,2,34,0.011542706879105278,0.02464329300149179,True,12,0.1875,2.3410764454288953
uniform,2,35,0.01038013970498648,0.019165149903141287,False,12,0.1875,2.3410764454288953
uniform,2,36,0.024082472306556867,0.0445579452580782,False,11,0.171875,2.3410764454288953
uniform,2,37,0.0043827347659532966,0.006236885258567603,False,12,0.1875,2.3410764454288953
uniform,2,38,0.012142689604669056,0.02142099159550282,False,11,0.171875,2.3410764454288953
uniform,2,39,0.017588636178879933,0.030851238860614888,False,12,0.1875,2.3410764454288953
uniform,2,40,0.0069510132347158264,0.009707805033199249,True,12,0.1875,2.3410764454288953
uniform,2,41,0.005065814723777522,0.007684265038510941,True,12,0.1875,2.3410764454288953
uniform,2,42,0.01913028102994376,0.03568701336212836,False,12,0.1875,2.3410764454288953
uniform,2,43,0.02689189242818622,0.04388839681101113,True,10,0.15625,2.3410764454288953
uniform,2,44,0.026176811362839555,0.04680281504775238,False,12,0.1875,2.3410764454288953
uniform,2,45,0.02458388732010408,0.04478998823503569,False,10,0.15625,2.3410764454288953
uniform,2,46,0.02177594043327518,0.036646801013659275,True,12,0.1875,2.3410764454288953
uniform,2,47,0.01629798507566556,0.030691264585406934,False,12,0.1875,2.3410764454288953
uniform,2,48,0.012381681036875532,0.020150092588664053,True,12,0.1875,2.3410764454288953
uniform,2,49,0.020728556426691448,0.03026999979973119,True,12,0.1875,2.3410764454288953
uniform,2,50,0.003960100426361062,0.008240009575790509,True,12,0.1875,2.3410764454288953
uniform,2,51,0.012291873067396184,0.025529367996275275,True,12,0.1875,2.3410764454288953
uniform,2,52,0.004152471703227177,0.008678125412870075,True,12,0.1875,2.3410764454288953
uniform,2,53,0.004223880716813387,0.007297468893760035,False,12,0.1875,2.3410764454288953
uniform,2,54,0.017850918624077533,0.035951485721376325,True,12,0.1875,2.3410764454288953
uniform,2,55,0.0076969639600324,0.013232318481957783,False,12,0.1875,2.3410764454288953
uniform,2,56,0.011439795863176299,0.019346070513690194,False,10,0.15625,2.3410764454288953
uniform,2,57,0.00632254438128794,0.013331145954967226,True,12,0.1875,2.3410764454288953
uniform,2,58,0.016481965059654626,0.030851238860614888,False,12,0.1875,2.3410764454288953
uniform,2,59,0.008534329763659662,0.016394475693432255,False,12,0.1875,2.3410764454288953
uniform,2,60,0.012358042600404077,0.020297724062700133,False,12,0.1875,2.3410764454288953
uniform,2,61,0.002956174224717327,0.005051508795210064,False,12,0.1875,2.3410764454288953
uniform,2,62,0.007844087778040814,0.016864625309400378,False,12,0.1875,2.3410764454288953
uniform,2,63,0.02467995271268685,0.04747561957939735,False,11,0.171875,2.3410764454288953
uniform,2,64,0.016808476782954763,0.03560934534877464,True,12,0.1875,2.3410764454288953
uniform,2,65,0.00687933438881049,0.013926092472431529,True,12,0.1875,2.3410764454288953
uniform,2,66,0.025651072792238768,0.04388514072643322,False,12,0.1875,2.3410764454288953
uniform,2,67,0.01872596275871905,0.031868635857137256,True,12,0.1875,2.3410764454288953
uniform,2,68,0.0035826772223413877,0.005801920714946292,False,12,0.1875,2.3410764454288953
uniform,2,69,0.007694642223560962,0.014374286018548225,False,12,0.1875,2.3410764454288953
uniform,2,70,0.012645599373737985,0.02451581413229681,True,12,0.1875,2.3410764454288953
uniform,2,71,0.0076763819993520875,0.011852706183782827,True,12,0.1875,2.3410764454288953
uniform,2,72,0.02379501709698388,0.0445579452580782,False,12,0.1875,2.3410764454288953
uniform,2,73,0.021127912132546497,0.03560934534877464,True,12,0.1875,2.3410764454288953
uniform,2,74,0.023370446871580824,0.04080502863091694,True,10,0.15625,2.3410764454288953
