setting,dataset,model,repeat,coalition,coalition_key,coalition_size,loss,train_rows
breast_cancer__logistic,breast_cancer,logistic,4,duplicate_rows|feature_noise,duplicate_rows|feature_noise,2,0.029239766081871343,458
breast_cancer__logistic,breast_cancer,logistic,4,duplicate_rows|target_noise,duplicate_rows|target_noise,2,0.04093567251461988,458
breast_cancer__logistic,breast_cancer,logistic,4,feature_noise|missing_cells|target_noise,feature_noise|missing_cells|target_noise,3,0.06432748538011696,398
breast_cancer__logistic,breast_cancer,logistic,4,duplicate_rows|feature_noise|missing_cells,duplicate_rows|feature_noise|missing_cells,3,0.03508771929824561,458
breast_cancer__logistic,breast_cancer,logistic,4,duplicate_rows|missing_cells|target_noise,duplicate_rows|missing_cells|target_noise,3,0.05847953216374269,458
breast_cancer__logistic,breast_cancer,logistic,4,duplicate_rows|feature_noise|target_noise,duplicate_rows|feature_noise|target_noise,3,0.04093567251461988,458
breast_cancer__logistic,breast_cancer,logistic,4,duplicate_rows|feature_noise|missing_cells|target_noise,duplicate_rows|feature_noise|missing_cells|target_noise,4,0.06432748538011696,458
breast_cancer__logistic,breast_cancer,logistic,5,EMPTY,EMPTY,0,0.011695906432748537,398
breast_cancer__logistic,breast_cancer,logistic,5,missing_cells,missing_cells,1,0.023391812865497075,398
breast_cancer__logistic,breast_cancer,logistic,5,feature_noise,feature_noise,1,0.017543859649122806,398
breast_cancer__logistic,breast_cancer,logistic,5,target_noise,target_noise,1,0.04093567251461988,398
breast_cancer__logistic,breast_cancer,logistic,5,duplicate_rows,duplicate_rows,1,0.011695906432748537,458
breast_cancer__logistic,breast_cancer,logistic,5,feature_noise|missing_cells,feature_noise|missing_cells,2,0.023391812865497075,398
breast_cancer__logistic,breast_cancer,logistic,5,missing_cells|target_noise,missing_cells|target_noise,2,0.05263157894736842,398
breast_cancer__logistic,breast_cancer,logistic,5,duplicate_rows|missing_cells,duplicate_rows|missing_cells,2,0.029239766081871343,458
breast_cancer__logistic,breast_cancer,logistic,5,feature_noise|target_noise,feature_noise|target_noise,2,0.04678362573099415,398
breast_cancer__logistic,breast_cancer,logistic,5,duplicate_rows|feature_noise,duplicate_rows|feature_noise,2,0.023391812865497075,458
breast_cancer__logistic,breast_cancer,logistic,5,duplicate_rows|target_noise,duplicate_rows|target_noise,2,0.05263157894736842,458
breast_cancer__logistic,breast_cancer,logistic,5,feature_noise|missing_cells|target_noise,feature_noise|missing_cells|target_noise,3,0.05847953216374269,398
breast_cancer__logistic,breast_cancer,logistic,5,duplicate_rows|feature_noise|missing_cells,duplicate_rows|feature_noise|missing_cells,3,0.017543859649122806,458
breast_cancer__logistic,breast_cancer,logistic,5,duplicate_rows|missing_cells|target_noise,duplicate_rows|missing_cells|target_noise,3,0.05847953216374269,458
breast_cancer__logistic,breast_cancer,logistic,5,duplicate_rows|feature_noise|target_noise,duplicate_rows|feature_noise|target_noise,3,0.04093567251461988,458
breast_cancer__logistic,breast_cancer,logistic,5,duplicate_rows|feature_noise|missing_cells|target_noise,duplicate_rows|feature_noise|missing_cells|target_noise,4,0.05263157894736842,458
breast_cancer__logistic,breast_cancer,logistic,6,EMPTY,EMPTY,0,0.017543859649122806,398
breast_cancer__logistic,breast_cancer,logistic,6,missing_cells,missing_cells,1,0.011695906432748537,398
breast_cancer__logistic,breast_cancer,logistic,6,feature_noise,feature_noise,1,0.04093567251461988,398
breast_cancer__logistic,breast_cancer,logistic,6,target_noise,target_noise,1,0.03508771929824561,398
breast_cancer__logistic,breast_cancer,logistic,6,duplicate_rows,duplicate_rows,1,0.023391812865497075,458
breast_cancer__logistic,breast_cancer,logistic,6,feature_noise|missing_cells,feature_noise|missing_cells,2,0.03508771929824561,398
breast_cancer__logistic,breast_cancer,logistic,6,missing_cells|target_noise,missing_cells|target_noise,2,0.04093567251461988,398
breast_cancer__logistic,breast_cancer,logistic,6,duplicate_rows|missing_cells,duplicate_rows|missing_cells,2,0.017543859649122806,458
breast_cancer__logistic,breast_cancer,logistic,6,feature_noise|target_noise,feature_noise|target_noise,2,0.05263157894736842,398
breast_cancer__logistic,breast_cancer,logistic,6,duplicate_rows|feature_noise,duplicate_rows|feature_noise,2,0.04093567251461988,458
breast_cancer__logistic,breast_cancer,logistic,6,duplicate_rows|target_noise,duplicate_rows|target_noise,2,0.03508771929824561,458
breast_cancer__logistic,breast_cancer,logistic,6,feature_noise|missing_cells|target_noise,feature_noise|missing_cells|target_noise,3,0.05847953216374269,398
breast_cancer__logistic,breast_cancer,logistic,6,duplicate_rows|feature_noise|missing_cells,duplicate_rows|feature_noise|missing_cells,3,0.04093567251461988,458
breast_cancer__logistic,breast_cancer,logistic,6,duplicate_rows|missing_cells|target_noise,duplicate_rows|missing_cells|target_noise,3,0.04678362573099415,458
breast_cancer__logistic,breast_cancer,logistic,6,duplicate_rows|feature_noise|target_noise,duplicate_rows|feature_noise|target_noise,3,0.05263157894736842,458
breast_cancer__logistic,breast_cancer,logistic,6,duplicate_rows|feature_noise|missing_cells|target_noise,duplicate_rows|feature_noise|missing_cells|target_noise,4,0.05263157894736842,458
breast_cancer__logistic,breast_cancer,logistic,7,EMPTY,EMPTY,0,0.005847953216374269,398
breast_cancer__logistic,breast_cancer,logistic,7,missing_cells,missing_cells,1,0.017543859649122806,398
breast_cancer__logistic,breast_cancer,logistic,7,feature_noise,feature_noise,1,0.04093567251461988,398
breast_cancer__logistic,breast_cancer,logistic,7,target_noise,target_noise,1,0.029239766081871343,398
breast_cancer__logistic,breast_cancer,logistic,7,duplicate_rows,duplicate_rows,1,0.011695906432748537,458
breast_cancer__logistic,breast_cancer,logistic,7,feature_noise|missing_cells,feature_noise|missing_cells,2,0.03508771929824561,398
breast_cancer__logistic,breast_cancer,logistic,7,missing_cells|target_noise,missing_cells|target_noise,2,0.03508771929824561,398
breast_cancer__logistic,breast_cancer,logistic,7,duplicate_rows|missing_cells,duplicate_rows|missing_cells,2,0.017543859649122806,458
breast_cancer__logistic,breast_cancer,logistic,7,feature_noise|target_noise,feature_noise|target_noise,2,0.04093567251461988,398
breast_cancer__logistic,breast_cancer,logistic,7,duplicate_rows|feature_noise,duplicate_rows|feature_noise,2,0.04093567251461988,458
breast_cancer__logistic,breast_cancer,logistic,7,duplicate_rows|target_noise,duplicate_rows|target_noise,2,0.029239766081871343,458
breast_cancer__logistic,breast_cancer,logistic,7,feature_noise|missing_cells|target_noise,feature_noise|missing_cells|target_noise,3,0.05263157894736842,398
breast_cancer__logistic,breast_cancer,logistic,7,duplicate_rows|feature_noise|missing_cells,duplicate_rows|feature_noise|missing_cells,3,0.023391812865497075,458
breast_cancer__logistic,breast_cancer,logistic,7,duplicate_rows|missing_cells|target_noise,duplicate_rows|missing_cells|target_noise,3,0.03508771929824561,458
breast_cancer__logistic,breast_cancer,logistic,7,duplicate_rows|feature_noise|target_noise,duplicate_rows|feature_noise|target_noise,3,0.029239766081871343,458
breast_cancer__logistic,breast_cancer,logistic,7,duplicate_rows|feature_noise|missing_cells|target_noise,duplicate_rows|feature_noise|missing_cells|target_noise,4,0.03508771929824561,458
breast_cancer__logistic,breast_cancer,logistic,8,EMPTY,EMPTY,0,0.023391812865497075,398
breast_cancer__logistic,breast_cancer,logistic,8,missing_cells,missing_cells,1,0.023391812865497075,398
breast_cancer__logistic,breast_cancer,logistic,8,feature_noise,feature_noise,1,0.04678362573099415,398
breast_cancer__logistic,breast_cancer,logistic,8,target_noise,target_noise,1,0.04678362573099415,398
breast_cancer__logistic,breast_cancer,logistic,8,duplicate_rows,duplicate_rows,1,0.023391812865497075,458
breast_cancer__logistic,breast_cancer,logistic,8,feature_noise|missing_cells,feature_noise|missing_cells,2,0.029239766081871343,398
breast_cancer__logistic,breast_cancer,logistic,8,missing_cells|target_noise,missing_cells|target_noise,2,0.023391812865497075,398
breast_cancer__logistic,breast_cancer,logistic,8,duplicate_rows|missing_cells,duplicate_rows|missing_cells,2,0.023391812865497075,458
breast_cancer__logistic,breast_cancer,logistic,8,feature_noise|target_noise,feature_noise|target_noise,2,0.05263157894736842,398
breast_cancer__logistic,breast_cancer,logistic,8,duplicate_rows|feature_noise,duplicate_rows|feature_noise,2,0.04678362573099415,458
breast_cancer__logistic,breast_cancer,logistic,8,duplicate_rows|target_noise,duplicate_rows|target_noise,2,0.04093567251461988,458
breast_cancer__logistic,breast_cancer,logistic,8,feature_noise|missing_cells|target_noise,feature_noise|missing_cells|target_noise,3,0.029239766081871343,398
breast_cancer__logistic,breast_cancer,logistic,8,duplicate_rows|feature_noise|missing_cells,duplicate_rows|feature_noise|missing_cells,3,0.023391812865497075,458
breast_cancer__logistic,breast_cancer,logistic,8,duplicate_rows|missing_cells|target_noise,duplicate_rows|missing_cells|target_noise,3,0.011695906432748537,458
breast_cancer__logistic,breast_cancer,logistic,8,duplicate_rows|feature_noise|target_noise,duplicate_rows|feature_noise|target_noise,3,0.03508771929824561,458
breast_cancer__logistic,breast_cancer,logistic,8,duplicate_rows|feature_noise|missing_cells|target_noise,duplicate_rows|feature_noise|missing_cells|target_noise,4,0.03508771929824561,458
breast_cancer__logistic,breast_cancer,logistic,9,EMPTY,EMPTY,0,0.005847953216374269,398
breast_cancer__logistic,breast_cancer,logistic,9,missing_cells,missing_cells,1,0.011695906432748537,398
breast_cancer__logistic,breast_cancer,logistic,9,feature_noise,feature_noise,1,0.029239766081871343,398
breast_cancer__logistic,breast_cancer,logistic,9,target_noise,target_noise,1,0.029239766081871343,398
breast_cancer__logistic,breast_cancer,logistic,9,duplicate_rows,duplicate_rows,1,0.005847953216374269,458
breast_cancer__logistic,breast_cancer,logistic,9,feature_noise|missing_cells,feature_noise|missing_cells,2,0.029239766081871343,398
breast_cancer__logistic,breast_cancer,logistic,9,missing_cells|target_noise,missing_cells|target_noise,2,0.029239766081871343,398
breast_cancer__logistic,breast_cancer,logistic,9,duplicate_rows|missing_cells,duplicate_rows|missing_cells,2,0.011695906432748537,458
breast_cancer__logistic,breast_cancer,logistic,9,feature_noise|target_noise,feature_noise|target_noise,2,0.03508771929824561,398
breast_cancer__logistic,breast_cancer,logistic,9,duplicate_rows|feature_noise,duplicate_rows|feature_noise,2,0.03508771929824561,458
breast_cancer__logistic,breast_cancer,logistic,9,duplicate_rows|target_noise,duplicate_rows|target_noise,2,0.029239766081871343,458
breast_cancer__logistic,breast_cancer,logistic,9,feature_noise|missing_cells|target_noise,feature_noise|missing_cells|target_noise,3,0.04678362573099415,398
